,name,payoff1,payoff2,payoff3,faction,took_part
65,מרב מיכאלי,0.13399397696296492,0.13399397696296492,0.13399397696296492,המחנה הציוני,0.6716735156582117
66,סתיו שפיר,3.349522235300533e-10,3.349522235300533e-10,3.349522235300533e-10,המחנה הציוני,0.6668556043644608
67,אראל מרגלית,2.7354192315198718e-11,2.7354192315198718e-11,2.7354192315198718e-11,המחנה הציוני,0.2709366586368145
68,איציק שמולי,0.588235296077522,0.588235296077522,0.588235296077522,המחנה הציוני,0.8738840867224033
69,מיקי רוזנטל,7.16955563076294e-11,7.16955563076294e-11,7.16955563076294e-11,המחנה הציוני,0.5717727079495536
70,מיכל בירן,0.2941176431008951,0.2941176431008951,0.2941176431008951,המחנה הציוני,0.6849936233526994
71,דניאל עטר,2.966083056164696e-11,2.966083056164696e-11,2.966083056164696e-11,המחנה הציוני,0.10089273062207738
72,יוסי יונה,9.500138355519911e-11,9.500138355519911e-11,9.500138355519911e-11,המחנה הציוני,0.5556185347881536
73,אלעזר שטרן,6.132386204339176e-11,6.132386204339176e-11,6.132386204339176e-11,יש עתיד,0.5842425960039677
74,יאיר לפיד,7.29595304056903e-11,7.29595304056903e-11,7.29595304056903e-11,יש עתיד,0.35029049171035853
75,שי פירון,6.160032935539844e-10,6.160032935539844e-10,6.160032935539844e-10,יש עתיד,0.0208303811818053
76,יעל גרמן,0.08556149793534343,0.08556149793534343,0.08556149793534343,יש עתיד,0.6396485758821029
77,מאיר כהן,0.9144385021569416,0.9144385021569416,0.9144385021569416,יש עתיד,0.6372396202352274
78,יעקב פרי,2.6313377361424418e-11,2.6313377361424418e-11,2.6313377361424418e-11,יש עתיד,0.35255774408388835
79,עליזה לביא,5.655535680085645e-11,5.655535680085645e-11,5.655535680085645e-11,יש עתיד,0.5308204619526711
80,עפר שלח,2.4528066410405897e-11,2.4528066410405897e-11,2.4528066410405897e-11,יש עתיד,0.48547541448207454
81,יואל רזבוזוב,3.9664950995820635e-11,3.9664950995820635e-11,3.9664950995820635e-11,יש עתיד,0.5091398611307921
82,קארין אלהרר,2.454307126274572e-11,2.454307126274572e-11,2.454307126274572e-11,יש עתיד,0.5116905200510132
83,מיקי לוי,0.6256684518009686,0.6256684518009686,0.6256684518009686,יש עתיד,0.7677483349865382
84,פנינה תמנו,2.797920273884044e-11,2.797920273884044e-11,2.797920273884044e-11,יש עתיד,0.1509139861130792
85,יעקב אשר,2.4189755800477655e-11,2.4189755800477655e-11,2.4189755800477655e-11,יהדות התורה,0.4569930565396061
86,טלב אבו עראר,0.5133689832511644,0.5133689832511644,0.5133689832511644,הרשימה המשותפת,0.416607623636106
87,באסל גטאס,1.0277102261077573e-10,1.0277102261077573e-10,1.0277102261077573e-10,הרשימה המשותפת,0.17769590477540032
88,תמר זנדברג,0.29411764605227514,0.29411764605227514,0.29411764605227514,מרצ,0.6784752727788012
89,עיסווי פריג`,0.31550802100032427,0.31550802100032427,0.31550802100032427,מרצ,0.6672807141844976
90,מיכל רוזין,1.6284167240157167e-10,1.6284167240157167e-10,1.6284167240157167e-10,מרצ,0.7259458693495819
91,עמר בר-לב,3.2841410381231414e-11,3.2841410381231414e-11,3.2841410381231414e-11,המחנה הציוני,0.6864106560861556
92,יואב בן צור,0.46524064051072,0.46524064051072,0.46524064051072,"ש""ס",0.5340796372396203
93,ינון מגל,2.9698295069371156e-11,2.9698295069371156e-11,2.9698295069371156e-11,הבית היהודי,0.1229984412639932
94,בצלאל סמוטריץ`,0.9187962636974832,0.9187962636974832,0.9187962636974832,הבית היהודי,0.6736573614850503
95,ז`קי לוי,1.0584443443837061e-10,1.0584443443837061e-10,1.0584443443837061e-10,הליכוד,0.5683718293892589
